,ANN,BAYESIAN,SDG
,"0,105","0,005","0,035"
,"0,089","0,034","0,035"
,"0,093","0,036","0,038"
,"0,099","0,040","0,036"
,"0,097","0,025","0,029"
,"0,000","0,144","0,034"
,"0,080","0,144","0,020"
,"0,143","0,121","0,151"
,"0,006","0,125","0,008"
,"0,128","0,132","0,088"
,"0,070","0,115","0,122"
,"0,110","0,131","0,125"
,"0,098","0,131","0,104"
,"0,126","0,122","0,117"
,"0,126","0,127","0,116"
,"0,138","0,141","0,120"
,"0,138","0,135","0,116"
,"0,117","0,133","0,120"
,"0,095","0,139","0,097"
,"0,101","0,152","0,119"
,"0,109","0,140","0,104"
,"0,113","0,156","0,088"
,"0,137","0,166","0,137"
,"0,085","0,149","0,115"
,"0,145","0,164","0,133"
,"0,145","0,146","0,125"
,"0,177","0,149","0,130"
,"0,147","0,172","0,122"
,"0,125","0,124","0,136"
,"0,118","0,146","0,132"
,"0,086","0,131","0,129"
,"0,118","0,121","0,129"
,"0,134","0,164","0,130"
,"0,122","0,169","0,138"
,"0,131","0,166","0,127"
,"0,111","0,150","0,131"
,"0,127","0,160","0,130"
,"0,170","0,164","0,119"
,"0,088","0,160","0,130"
,"0,126","0,152","0,126"
,"0,138","0,163","0,139"
,"0,174","0,165","0,137"
,"0,150","0,162","0,137"
,"0,166","0,159","0,123"
,"0,166","0,163","0,126"
,"0,158","0,170","0,140"
,"0,178","0,168","0,139"
,"0,168","0,166","0,123"
,"0,155","0,159","0,136"
,"0,148","0,163","0,133"
,"0,118","0,170","0,143"
,"0,106","0,169","0,138"
,"0,199","0,174","0,162"
,"0,055","0,155","0,158"
,"0,133","0,166","0,159"
,"0,184","0,175","0,156"
,"0,176","0,176","0,150"
,"0,164","0,174","0,148"
,"0,184","0,167","0,144"
,"0,188","0,158","0,135"
,"0,163","0,177","0,150"
,"0,167","0,166","0,148"
,"0,167","0,171","0,145"
,"0,167","0,182","0,155"
,"0,165","0,179","0,151"
,"0,165","0,189","0,136"
,"0,181","0,186","0,138"
,"0,196","0,182","0,173"
,"0,172","0,166","0,044"
,"0,199","0,171","0,190"
,"0,179","0,170","0,174"
,"0,187","0,179","0,165"
,"0,191","0,166","0,138"
,"0,181","0,177","0,078"
,"0,184","0,179","0,155"
,"0,176","0,178","0,147"
,"0,176","0,175","0,146"
,"0,172","0,178","0,153"
,"0,188","0,180","0,135"
,"0,184","0,178","0,108"
,"0,182","0,171","0,140"
,"0,170","0,169","0,121"
,"0,200","0,173","0,166"
,"0,086","0,174","0,041"
,"0,157","0,175","0,099"
,"0,181","0,174","0,153"
,"0,173","0,176","0,165"
,"0,181","0,176","0,151"
,"0,173","0,176","0,149"
,"0,174","0,175","0,119"
,"0,198","0,176","0,135"
,"0,174","0,174","0,135"
,"0,190","0,178","0,148"
,"0,180","0,179","0,148"
,"0,183","0,177","0,143"
,"0,163","0,188","0,173"
,"0,187","0,186","0,176"
,"0,217","0,190","0,205"
,"0,073","0,198","0,082"
,"0,205","0,199","0,207"
,"0,221","0,200","0,191"
,"0,229","0,195","0,197"
,"0,212","0,200","0,197"
,"0,190","0,200","0,195"
